Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
NIFTY-FUT,28-11-2025 14:15:00,26372.70,26402.40,26370.10,26382.00,601200,13751475
NIFTY-FUT,28-11-2025 15:15:00,26382.00,26398.80,26377.00,26396.00,321225,13713600
NIFTY-FUT,01-12-2025 09:15:00,26455.10,26493.80,26429.80,26454.00,1082775,13924125
NIFTY-FUT,01-12-2025 10:15:00,26454.00,26462.20,26396.00,26419.50,518250,13948200
NIFTY-FUT,01-12-2025 11:15:00,26415.00,26432.60,26327.10,26341.00,773400,13910400
NIFTY-FUT,01-12-2025 12:15:00,26341.00,26353.90,26305.00,26345.90,623250,13970775
NIFTY-FUT,01-12-2025 13:15:00,26345.90,26379.00,26323.00,26366.40,464700,14034975
NIFTY-FUT,01-12-2025 14:15:00,26372.00,26377.90,26301.40,26340.00,1018050,14323500
NIFTY-FUT,01-12-2025 15:15:00,26341.00,26343.00,26328.00,26334.70,399825,14077300
NIFTY-FUT,02-12-2025 09:15:00,26278.80,26314.90,26222.00,26225.10,1376025,14000925
NIFTY-FUT,02-12-2025 10:15:00,26225.10,26268.00,26213.40,26243.80,595350,14028975
NIFTY-FUT,02-12-2025 11:15:00,26242.30,26257.00,26215.00,26229.70,427650,14096625
NIFTY-FUT,02-12-2025 12:15:00,26220.50,26259.00,26203.00,26209.00,506400,14120325
NIFTY-FUT,02-12-2025 13:15:00,26209.00,26234.10,26205.00,26217.00,363225,14218275
NIFTY-FUT,02-12-2025 14:15:00,26217.00,26225.90,26181.00,26214.50,1356975,14623800
NIFTY-FUT,02-12-2025 15:15:00,26214.60,26231.00,26208.10,26213.00,454200,14568000
NIFTY-FUT,03-12-2025 09:15:00,26225.00,26225.00,26053.70,26078.00,2035500,14852400
NIFTY-FUT,03-12-2025 10:15:00,26078.00,26089.40,26049.00,26075.10,666150,15075000
NIFTY-FUT,03-12-2025 11:15:00,26075.10,26115.90,26050.10,26105.00,689550,15132075
NIFTY-FUT,03-12-2025 12:15:00,26108.30,26118.90,26070.00,26087.40,383250,15149325
NIFTY-FUT,03-12-2025 13:15:00,26081.50,26108.00,26055.00,26104.90,411225,15178650
NIFTY-FUT,03-12-2025 14:15:00,26105.00,26150.90,26080.00,26146.90,945900,15203550
NIFTY-FUT,03-12-2025 15:15:00,26146.30,26146.30,26125.00,26136.20,378750,15189000
NIFTY-FUT,04-12-2025 09:15:00,26105.00,26182.00,26070.30,26180.00,932100,15180900
NIFTY-FUT,04-12-2025 10:15:00,26180.00,26243.90,26170.50,26218.00,995475,14965875
NIFTY-FUT,04-12-2025 11:15:00,26218.00,26222.00,26150.00,26169.80,561450,15010350
NIFTY-FUT,04-12-2025 12:15:00,26165.00,26173.50,26120.10,26143.20,436425,15062250
NIFTY-FUT,04-12-2025 13:15:00,26141.20,26165.40,26092.10,26140.30,758250,15117525
NIFTY-FUT,04-12-2025 14:15:00,26140.20,26197.20,26126.00,26182.10,570300,15141900
NIFTY-FUT,04-12-2025 15:15:00,26188.70,26190.00,26172.20,26186.50,310800,15098500
NIFTY-FUT,05-12-2025 09:15:00,26151.90,26267.00,26151.90,26246.10,1251975,15155475
NIFTY-FUT,05-12-2025 10:15:00,26244.50,26291.60,26159.50,26290.00,1567350,15160650
NIFTY-FUT,05-12-2025 11:15:00,26291.00,26313.60,26275.00,26287.00,674550,15153225
NIFTY-FUT,05-12-2025 12:15:00,26287.00,26366.30,26285.10,26343.60,875625,15085200
NIFTY-FUT,05-12-2025 13:15:00,26345.00,26370.00,26310.00,26315.50,568275,15034125
NIFTY-FUT,05-12-2025 14:15:00,26315.50,26343.70,26280.00,26331.90,625200,14946600
NIFTY-FUT,05-12-2025 15:15:00,26331.90,26340.00,26325.50,26333.20,350550,14727100
NIFTY-FUT,08-12-2025 09:15:00,26325.00,26325.00,26223.00,26243.10,1391250,14907150
NIFTY-FUT,08-12-2025 10:15:00,26243.80,26260.00,26204.00,26223.00,679575,15048825
NIFTY-FUT,08-12-2025 11:15:00,26220.00,26230.80,26181.30,26185.60,583125,15186600
NIFTY-FUT,08-12-2025 12:15:00,26185.00,26195.90,26156.00,26180.00,829500,15482625
NIFTY-FUT,08-12-2025 13:15:00,26180.00,26180.00,26035.20,26056.70,1737600,16027650
NIFTY-FUT,08-12-2025 14:15:00,26056.80,26095.00,26030.00,26080.00,874050,16097925
NIFTY-FUT,08-12-2025 15:15:00,26080.00,26083.20,26045.00,26064.70,511500,15977700
NIFTY-FUT,09-12-2025 09:15:00,25999.00,25999.00,25875.00,25916.20,2714100,16731750
NIFTY-FUT,09-12-2025 10:15:00,25916.30,26000.00,25914.00,26000.00,1214025,16688475
NIFTY-FUT,09-12-2025 11:15:00,26000.00,26020.00,25938.40,26020.00,668400,16601550
NIFTY-FUT,09-12-2025 12:15:00,26020.00,26039.00,25976.70,25996.70,658575,16620975
NIFTY-FUT,09-12-2025 13:15:00,25996.70,26029.00,25985.00,26007.00,254250,16638750
NIFTY-FUT,09-12-2025 14:15:00,26007.00,26007.00,25930.00,25958.20,951900,16947600
NIFTY-FUT,09-12-2025 15:15:00,25957.20,25967.50,25955.00,25960.20,344625,16474200
NIFTY-FUT,10-12-2025 09:15:00,25882.30,26035.50,25882.30,26035.50,1050750,16438950
NIFTY-FUT,10-12-2025 10:15:00,26035.50,26061.00,25922.50,25973.40,995250,16458225
NIFTY-FUT,10-12-2025 11:15:00,25973.40,25983.30,25916.40,25935.70,443475,16519050
NIFTY-FUT,10-12-2025 12:15:00,25930.90,25945.30,25870.00,25907.60,673050,16599900
NIFTY-FUT,10-12-2025 13:15:00,25907.70,25960.00,25860.00,25860.00,661575,16685700
NIFTY-FUT,10-12-2025 14:15:00,25860.00,25885.00,25842.00,25861.90,724650,16933876
NIFTY-FUT,10-12-2025 15:15:00,25866.00,25872.80,25855.00,25863.90,411975,16857200
NIFTY-FUT,11-12-2025 09:15:00,25910.00,25936.00,25804.10,25936.00,1587150,16778400
NIFTY-FUT,11-12-2025 10:15:00,25938.00,25971.80,25881.00,25920.20,1068450,16687350
NIFTY-FUT,11-12-2025 11:15:00,25920.10,26014.90,25910.00,26000.70,669825,16448175
NIFTY-FUT,11-12-2025 12:15:00,26000.70,26038.90,25959.00,25974.80,848025,16227300
NIFTY-FUT,11-12-2025 13:15:00,25972.20,26012.00,25968.00,25979.00,292875,16226850
NIFTY-FUT,11-12-2025 14:15:00,25979.00,26035.00,25974.60,26007.30,689475,16283775
NIFTY-FUT,11-12-2025 15:15:00,26007.30,26017.90,26000.70,26009.50,401025,16285800
NIFTY-FUT,12-12-2025 09:15:00,26100.00,26148.70,26071.00,26105.50,1664175,16286400
NIFTY-FUT,12-12-2025 10:15:00,26107.30,26125.80,26040.10,26093.00,736425,16363800
NIFTY-FUT,12-12-2025 11:15:00,26093.00,26138.90,26090.00,26105.70,569775,16542225
NIFTY-FUT,12-12-2025 12:15:00,26105.70,26139.20,26101.70,26132.90,303750,16551150
NIFTY-FUT,12-12-2025 13:15:00,26132.90,26158.50,26105.00,26145.00,556050,16526250
NIFTY-FUT,12-12-2025 14:15:00,26145.00,26151.00,26117.00,26148.10,492675,16468725
NIFTY-FUT,12-12-2025 15:15:00,26141.60,26152.70,26131.90,26145.40,461850,16302800
NIFTY-FUT,15-12-2025 09:15:00,26070.00,26079.30,25987.80,26045.10,1718475,16375875
NIFTY-FUT,15-12-2025 10:15:00,26050.00,26077.20,26026.50,26060.00,564675,16213200
NIFTY-FUT,15-12-2025 11:15:00,26060.00,26122.60,26037.10,26106.00,842100,16097550
NIFTY-FUT,15-12-2025 12:15:00,26110.00,26127.00,26090.00,26127.00,267150,16081425
NIFTY-FUT,15-12-2025 13:15:00,26128.20,26128.70,26085.00,26096.00,419175,16104300
NIFTY-FUT,15-12-2025 14:15:00,26096.00,26132.50,26092.50,26111.20,490125,16032300
NIFTY-FUT,15-12-2025 15:15:00,26110.10,26113.10,26103.30,26108.70,209175,15875000
NIFTY-FUT,16-12-2025 09:15:00,26012.00,26037.70,25965.10,25972.00,1726950,16007475
NIFTY-FUT,16-12-2025 10:15:00,25972.00,26003.20,25966.70,25982.00,477975,16083600
NIFTY-FUT,16-12-2025 11:15:00,25982.00,25990.00,25952.30,25969.00,569700,16060350
NIFTY-FUT,16-12-2025 12:15:00,25969.00,25993.10,25955.30,25960.00,408300,16075725
NIFTY-FUT,16-12-2025 13:15:00,25960.00,26008.20,25955.30,25969.00,446625,16025925
NIFTY-FUT,16-12-2025 14:15:00,25969.00,25977.80,25939.40,25948.00,634500,16049625
NIFTY-FUT,16-12-2025 15:15:00,25947.50,25950.00,25929.50,25940.70,574125,16142600
NIFTY-FUT,17-12-2025 09:15:00,25925.00,26004.90,25892.00,25913.80,1273575,16149900
NIFTY-FUT,17-12-2025 10:15:00,25913.80,25924.50,25878.00,25920.00,557400,16210725
NIFTY-FUT,17-12-2025 11:15:00,25925.00,25928.30,25870.00,25875.00,394350,16252725
NIFTY-FUT,17-12-2025 12:15:00,25876.10,25889.00,25857.10,25866.90,286575,16294650
NIFTY-FUT,17-12-2025 13:15:00,25866.90,25896.00,25860.00,25881.00,250050,16329000
NIFTY-FUT,17-12-2025 14:15:00,25885.90,25905.60,25860.00,25893.40,513075,16392225
NIFTY-FUT,17-12-2025 15:15:00,25892.90,25912.90,25883.10,25897.80,330675,16414700
NIFTY-FUT,18-12-2025 09:15:00,25875.00,25878.10,25801.00,25860.30,1085325,16595025
NIFTY-FUT,18-12-2025 10:15:00,25860.30,25944.00,25852.10,25909.70,1074600,16367850
NIFTY-FUT,18-12-2025 11:15:00,25909.00,25965.30,25898.00,25961.00,553050,16234800
NIFTY-FUT,18-12-2025 12:15:00,25961.10,25980.00,25946.10,25959.20,681150,16109175
NIFTY-FUT,18-12-2025 13:15:00,25959.20,25965.20,25875.00,25879.10,550050,16037850
NIFTY-FUT,18-12-2025 14:15:00,25879.10,25894.70,25850.00,25884.00,769050,16189650
NIFTY-FUT,18-12-2025 15:15:00,25883.90,25886.00,25874.50,25880.60,397275,16043000
NIFTY-FUT,19-12-2025 09:15:00,25965.00,26034.50,25951.10,25994.10,1958925,15698550
NIFTY-FUT,19-12-2025 10:15:00,25994.10,26038.80,25992.00,26017.90,567375,15634800
NIFTY-FUT,19-12-2025 11:15:00,26018.00,26018.70,25960.20,25996.40,459675,15654600
NIFTY-FUT,19-12-2025 12:15:00,25996.40,26014.90,25976.70,25982.00,187950,15644025
NIFTY-FUT,19-12-2025 13:15:00,25981.00,26029.00,25980.00,26017.30,358575,15616650
NIFTY-FUT,19-12-2025 14:15:00,26017.30,26043.80,26009.90,26032.80,746025,15483000
NIFTY-FUT,19-12-2025 15:15:00,26032.10,26040.00,26025.00,26030.00,383850,15160400
NIFTY-FUT,22-12-2025 09:15:00,26150.00,26193.00,26130.00,26180.00,1436175,15245025
NIFTY-FUT,22-12-2025 10:15:00,26180.00,26195.60,26175.00,26183.20,440100,15174000
NIFTY-FUT,22-12-2025 11:15:00,26183.20,26197.10,26175.10,26187.60,215625,15150225
NIFTY-FUT,22-12-2025 12:15:00,26187.60,26196.00,26172.00,26187.00,229875,15115125
NIFTY-FUT,22-12-2025 13:15:00,26188.40,26197.00,26177.10,26190.00,205950,15090375
NIFTY-FUT,22-12-2025 14:15:00,26190.00,26206.50,26180.00,26198.60,589125,14991000
NIFTY-FUT,22-12-2025 15:15:00,26199.90,26202.00,26190.50,26197.90,436725,14458500
NIFTY-FUT,23-12-2025 09:15:00,26240.00,26242.00,26163.00,26225.30,931125,14454750
NIFTY-FUT,23-12-2025 10:15:00,26225.00,26227.70,26201.00,26225.00,297750,14346975
NIFTY-FUT,23-12-2025 11:15:00,26225.10,26228.00,26196.10,26221.00,194325,14286675
NIFTY-FUT,23-12-2025 12:15:00,26219.10,26225.00,26210.20,26219.00,100050,14259975
NIFTY-FUT,23-12-2025 13:15:00,26219.00,26235.00,26215.80,26234.00,232575,14203050
NIFTY-FUT,23-12-2025 14:15:00,26234.00,26259.00,26198.80,26207.80,959700,14142675
NIFTY-FUT,23-12-2025 15:15:00,26207.70,26209.00,26196.00,26206.90,360150,13633700
NIFTY-FUT,24-12-2025 09:15:00,26228.00,26264.30,26166.70,26256.10,633000,13605375
NIFTY-FUT,24-12-2025 10:15:00,26259.90,26269.70,26220.00,26239.50,344250,13544025
NIFTY-FUT,24-12-2025 11:15:00,26239.80,26253.90,26205.70,26221.00,279675,13501275
NIFTY-FUT,24-12-2025 12:15:00,26221.00,26242.00,26202.00,26209.00,268875,13352700
NIFTY-FUT,24-12-2025 13:15:00,26208.00,26213.00,26170.00,26180.40,602325,13270275
NIFTY-FUT,24-12-2025 14:15:00,26181.20,26187.40,26151.70,26172.60,753075,13330125
NIFTY-FUT,24-12-2025 15:15:00,26178.00,26179.40,26164.00,26173.10,426450,12572700
NIFTY-FUT,26-12-2025 09:15:00,26139.00,26149.00,26080.00,26099.00,1266225,12455475
NIFTY-FUT,26-12-2025 10:15:00,26101.20,26114.40,26077.00,26089.00,520725,12358875
NIFTY-FUT,26-12-2025 11:15:00,26085.00,26090.90,26073.10,26085.00,1198650,12814050
NIFTY-FUT,26-12-2025 12:15:00,26085.20,26088.20,26051.30,26059.00,754350,13014225
NIFTY-FUT,26-12-2025 13:15:00,26059.00,26069.70,26050.50,26061.50,752025,13334175
NIFTY-FUT,26-12-2025 14:15:00,26061.50,26065.90,26041.00,26063.30,1018950,13717575
NIFTY-FUT,26-12-2025 15:15:00,26059.10,26063.90,26054.00,26060.20,446850,10364700
NIFTY-FUT,29-12-2025 09:15:00,26080.00,26100.20,26035.50,26040.60,1065975,10526025
NIFTY-FUT,29-12-2025 10:15:00,26044.00,26044.00,25989.10,25992.80,1070775,10821600
NIFTY-FUT,29-12-2025 11:15:00,25999.10,26007.90,25982.10,25998.00,849825,10998450
NIFTY-FUT,29-12-2025 12:15:00,25998.00,25999.30,25965.00,25972.40,698400,11208225
NIFTY-FUT,29-12-2025 13:15:00,25972.40,25974.20,25938.00,25958.70,962700,11081025
NIFTY-FUT,29-12-2025 14:15:00,25958.70,25976.00,25934.60,25957.20,1244400,7395750
NIFTY-FUT,29-12-2025 15:15:00,25957.20,25957.20,25957.20,25957.20,825,7395750
NIFTY-FUT,30-12-2025 09:15:00,25922.00,25966.00,25880.10,25953.50,1424850,7295775
NIFTY-FUT,30-12-2025 10:15:00,25951.70,25983.50,25912.20,25924.00,1108875,7275525
NIFTY-FUT,30-12-2025 11:15:00,25922.10,25934.10,25890.00,25894.00,683925,7203675
NIFTY-FUT,30-12-2025 12:15:00,25894.00,25917.40,25883.20,25897.00,608550,7059675
NIFTY-FUT,30-12-2025 13:15:00,25896.20,25967.70,25892.00,25949.00,570525,6380850
NIFTY-FUT,30-12-2025 14:15:00,25949.00,25965.00,25923.90,25936.80,625875,6095625
NIFTY-FUT,30-12-2025 15:15:00,25935.90,25942.00,25935.80,25937.40,354375,5893125
NIFTY-FUT,31-12-2025 09:15:00,26145.00,26187.20,26130.20,26168.00,1195350,14180010
NIFTY-FUT,31-12-2025 10:15:00,26168.00,26223.30,26164.20,26220.00,812435,14149525
NIFTY-FUT,31-12-2025 11:15:00,26220.00,26255.00,26200.00,26253.00,566995,14092520
NIFTY-FUT,31-12-2025 12:15:00,26250.20,26315.00,26242.00,26309.70,790270,14074970
NIFTY-FUT,31-12-2025 13:15:00,26309.70,26325.00,26285.90,26314.90,432900,14096030
NIFTY-FUT,31-12-2025 14:15:00,26312.70,26319.00,26285.00,26291.00,656695,14123850
NIFTY-FUT,31-12-2025 15:15:00,26294.90,26305.00,26288.40,26296.30,254930,14026500
NIFTY-FUT,01-01-2026 09:15:00,26332.00,26339.60,26283.10,26288.40,614055,14080300
NIFTY-FUT,01-01-2026 10:15:00,26288.40,26325.00,26261.00,26316.00,392600,14089530
NIFTY-FUT,01-01-2026 11:15:00,26316.00,26322.00,26272.60,26276.30,261885,14051050
NIFTY-FUT,01-01-2026 12:15:00,26276.30,26300.00,26270.00,26298.90,214175,14034930
NIFTY-FUT,01-01-2026 13:15:00,26298.90,26310.00,26278.00,26305.60,143390,14012960
NIFTY-FUT,01-01-2026 14:15:00,26307.10,26315.00,26284.50,26292.70,203970,14010425
NIFTY-FUT,01-01-2026 15:15:00,26287.00,26296.10,26284.80,26290.40,200785,14003700
NIFTY-FUT,02-01-2026 09:15:00,26306.00,26409.00,26306.00,26400.00,1402440,14077310
NIFTY-FUT,02-01-2026 10:15:00,26400.00,26411.90,26385.50,26404.90,359840,14086475
NIFTY-FUT,02-01-2026 11:15:00,26404.90,26439.00,26403.20,26434.00,437710,14029795
NIFTY-FUT,02-01-2026 12:15:00,26433.90,26450.00,26422.60,26436.10,440635,13972660
NIFTY-FUT,02-01-2026 13:15:00,26436.10,26445.50,26431.70,26436.10,255060,13910065
