Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY-FUT,15-12-2025 14:05:00,59700.00,59708.80,59660.00,59671.40,5075,1722770
BANKNIFTY-FUT,15-12-2025 14:10:00,59671.40,59671.40,59634.00,59667.80,7630,1725080
BANKNIFTY-FUT,15-12-2025 14:15:00,59666.20,59692.00,59652.80,59668.00,2835,1725255
BANKNIFTY-FUT,15-12-2025 14:20:00,59668.80,59698.80,59668.80,59674.00,3255,1725605
BANKNIFTY-FUT,15-12-2025 14:25:00,59676.20,59698.00,59676.00,59691.00,1365,1725850
BANKNIFTY-FUT,15-12-2025 14:30:00,59691.00,59697.00,59680.40,59695.60,1155,1725395
BANKNIFTY-FUT,15-12-2025 14:35:00,59693.20,59693.20,59661.00,59680.00,2695,1725430
BANKNIFTY-FUT,15-12-2025 14:40:00,59680.00,59710.00,59670.20,59710.00,5740,1722875
BANKNIFTY-FUT,15-12-2025 14:45:00,59710.00,59712.80,59684.60,59684.60,3780,1722175
BANKNIFTY-FUT,15-12-2025 14:50:00,59680.00,59698.00,59680.00,59697.60,1540,1721580
BANKNIFTY-FUT,15-12-2025 14:55:00,59691.00,59711.80,59685.00,59710.40,3290,1721090
BANKNIFTY-FUT,15-12-2025 15:00:00,59708.60,59708.60,59670.80,59685.20,3255,1720845
BANKNIFTY-FUT,15-12-2025 15:05:00,59681.40,59691.00,59661.60,59687.20,3535,1720180
BANKNIFTY-FUT,15-12-2025 15:10:00,59689.80,59695.00,59677.00,59690.20,4900,1719760
BANKNIFTY-FUT,15-12-2025 15:15:00,59678.00,59688.40,59670.00,59680.00,8505,1717520
BANKNIFTY-FUT,15-12-2025 15:20:00,59665.00,59679.80,59655.20,59679.00,13965,1715035
BANKNIFTY-FUT,15-12-2025 15:25:00,59680.00,59694.20,59670.00,59678.00,15190,1707340
BANKNIFTY-FUT,16-12-2025 09:15:00,59550.00,59600.00,59510.00,59526.40,50260,1710835
BANKNIFTY-FUT,16-12-2025 09:20:00,59520.00,59525.40,59420.00,59420.00,48160,1706775
BANKNIFTY-FUT,16-12-2025 09:25:00,59420.00,59429.60,59356.20,59376.60,94395,1730365
BANKNIFTY-FUT,16-12-2025 09:30:00,59365.40,59410.60,59325.00,59400.80,58730,1741635
BANKNIFTY-FUT,16-12-2025 09:35:00,59400.80,59400.80,59355.00,59382.80,20300,1748880
BANKNIFTY-FUT,16-12-2025 09:40:00,59386.20,59427.60,59375.20,59395.20,28595,1759940
BANKNIFTY-FUT,16-12-2025 09:45:00,59391.20,59415.00,59380.00,59401.00,7455,1759800
BANKNIFTY-FUT,16-12-2025 09:50:00,59400.00,59415.00,59381.40,59388.40,4935,1750805
BANKNIFTY-FUT,16-12-2025 09:55:00,59388.40,59394.80,59340.00,59346.60,28490,1764840
BANKNIFTY-FUT,16-12-2025 10:00:00,59348.00,59373.20,59282.20,59322.00,55265,1776005
BANKNIFTY-FUT,16-12-2025 10:05:00,59322.00,59365.20,59309.40,59337.60,19110,1778595
BANKNIFTY-FUT,16-12-2025 10:10:00,59336.80,59353.80,59314.40,59340.60,15225,1781500
BANKNIFTY-FUT,16-12-2025 10:15:00,59348.20,59360.00,59320.60,59360.00,14105,1785630
BANKNIFTY-FUT,16-12-2025 10:20:00,59365.60,59384.00,59351.40,59369.00,5145,1778770
BANKNIFTY-FUT,16-12-2025 10:25:00,59366.00,59387.00,59360.00,59360.60,3045,1780135
BANKNIFTY-FUT,16-12-2025 10:30:00,59360.40,59398.00,59351.00,59360.00,3640,1781745
BANKNIFTY-FUT,16-12-2025 10:35:00,59355.00,59379.60,59345.20,59358.60,2555,1782445
BANKNIFTY-FUT,16-12-2025 10:40:00,59362.20,59383.00,59352.60,59380.00,3150,1783565
BANKNIFTY-FUT,16-12-2025 10:45:00,59380.00,59381.20,59355.00,59355.00,1365,1783845
BANKNIFTY-FUT,16-12-2025 10:50:00,59354.00,59379.40,59352.00,59354.20,2205,1784825
BANKNIFTY-FUT,16-12-2025 10:55:00,59364.80,59371.00,59343.60,59344.00,1960,1785735
BANKNIFTY-FUT,16-12-2025 11:00:00,59335.00,59354.00,59325.00,59340.00,4410,1785735
